year-month	num_comments	num_sentences	avg_num_sentences	max_num_sentences	num_words	avg_num_words	max_num_words	avg_words_sentence
2018-01	4222753	11314126	2.6793246017467753	283	160634018	38.04011695687624	2500	14.197651502201762
2018-02	4216063	11723239	2.78061286086095	357	168943052	40.07128261603302	3333	14.410953491607566
2018-03	4455381	12123396	2.7210682992094277	287	174482638	39.16222608122627	2028	14.392224587896
2018-04	4075715	11167481	2.7400053732903307	240	162172464	39.789942132852765	3143	14.521848212681087
2018-05	4197362	11497418	2.739200955266665	486	165835918	39.50955814628331	5734	14.423753054816308
2018-06	4524026	12296415	2.718024830096025	243	175506811	38.79438601811749	3295	14.273006481970558
2018-07	4715882	13053732	2.768036180718686	434	187508607	39.76108965406683	2002	14.364367753221837
2018-08	4499901	12294840	2.732246776095741	275	176167270	39.1491435033793	1961	14.32855327926187
2018-09	4769894	12505320	2.621718637772663	310	175573678	36.80871692326915	2444	14.03991885053721
2018-10	5125415	13623436	2.6580161801532167	273	191329463	37.329555362834036	2073	14.044141507326051
2018-11	4924260	12807726	2.600944304321868	179	179470319	36.44615008143356	1944	14.01266071744508
2018-12	4365216	11497343	2.6338543155710967	176	164287581	37.63561322051417	3256	14.289178030089213
