year	num_comments	num_sentences	avg_num_sentences	max_num_sentences	num_words	avg_num_words	max_num_words	avg_words_sentence
2008	1023565	3265900	3.1907108976957983	137	48270109	47.15881160453904	1881	14.780032762791267
2009	1373167	4896269	3.5656762797241703	182	76033676	55.37103353051741	1931	15.528900883509465
2010	2541904	9113899	3.5854615280514133	256	142165539	55.92876009479508	1920	15.59876173742983
2011	4903446	17807654	3.631661080799095	179	280845146	57.27505635832433	3057	15.771035645683591
2012	8182967	29722014	3.632180601485989	356	470580193	57.507282260823	2425	15.832715542089442
2013	7591436	28305276	3.728579941924031	302	449749181	59.2442827681087	2586	15.889234961001616
2014	6519031	24765411	3.79894051738671	331	402691560	61.77168968823741	4176	16.26024135032526
2015	10134803	35487653	3.5015631778930483	195	569217098	56.164594220529004	1912	16.03986316029409
2016	39950709	119652826	2.9950113275836983	397	1768416882	44.26496866426075	2161	14.779566359761532
2017	44119137	133088842	3.01657854277612	318	1957821144	44.3757806051374	2137	14.710633247526491
2018	46232714	137951889	2.9838587671924257	486	2053650856	44.41986373544932	5734	14.88671790496468
2019	54620174	162255435	2.9706136600736572	314	2422820511	44.35761246384898	1987	14.932137780161263
